Indicator,Sector,Stage,Team,Traction,Sector,Stage of Venture,Team Characteristics,Traction Indicators,Prompt
12,4,3,1,1,Energy/Green Technology,Early Market Testing,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
13,1,4,1,1,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Prior Startup Experience,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet"
14,2,4,1,1,Consumer Products,Revenue-Generating,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
15,3,4,1,1,Software/Enterprise Solutions,Revenue-Generating,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
16,4,4,1,1,Energy/Green Technology,Revenue-Generating,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
17,1,1,2,1,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Industry Expertise,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet"
18,2,1,2,1,Consumer Products,Idea/Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
19,3,1,2,1,Software/Enterprise Solutions,Idea/Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
20,4,1,2,1,Energy/Green Technology,Idea/Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
21,1,2,2,1,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Industry Expertise,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet"
22,2,2,2,1,Consumer Products,Prototype/Proof of Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
23,3,2,2,1,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
24,4,2,2,1,Energy/Green Technology,Prototype/Proof of Concept,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
25,1,3,2,1,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Industry Expertise,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet"
26,2,3,2,1,Consumer Products,Early Market Testing,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
27,3,3,2,1,Software/Enterprise Solutions,Early Market Testing,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
28,4,3,2,1,Energy/Green Technology,Early Market Testing,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
29,1,4,2,1,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Industry Expertise,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet"
30,2,4,2,1,Consumer Products,Revenue-Generating,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
31,3,4,2,1,Software/Enterprise Solutions,Revenue-Generating,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
32,4,4,2,1,Energy/Green Technology,Revenue-Generating,Founders with Industry Expertise,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Industry Expertise; Traction Indicators: No Funding Yet
33,1,1,3,1,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet"
34,2,1,3,1,Consumer Products,Idea/Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
35,3,1,3,1,Software/Enterprise Solutions,Idea/Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
36,4,1,3,1,Energy/Green Technology,Idea/Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
37,1,2,3,1,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet"
38,2,2,3,1,Consumer Products,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
39,3,2,3,1,Software/Enterprise Solutions,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
40,4,2,3,1,Energy/Green Technology,Prototype/Proof of Concept,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
41,1,3,3,1,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Academic Background (PhD/Postdoc involvement),No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet"
42,2,3,3,1,Consumer Products,Early Market Testing,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
43,3,3,3,1,Software/Enterprise Solutions,Early Market Testing,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
44,4,3,3,1,Energy/Green Technology,Early Market Testing,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
45,1,4,3,1,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Academic Background (PhD/Postdoc involvement),No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet"
46,2,4,3,1,Consumer Products,Revenue-Generating,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
47,3,4,3,1,Software/Enterprise Solutions,Revenue-Generating,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
48,4,4,3,1,Energy/Green Technology,Revenue-Generating,Academic Background (PhD/Postdoc involvement),No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Academic Background (PhD/Postdoc involvement); Traction Indicators: No Funding Yet
49,1,1,4,1,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Diverse Team Composition,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet"
50,2,1,4,1,Consumer Products,Idea/Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
51,3,1,4,1,Software/Enterprise Solutions,Idea/Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
52,4,1,4,1,Energy/Green Technology,Idea/Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
53,1,2,4,1,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Diverse Team Composition,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet"
54,2,2,4,1,Consumer Products,Prototype/Proof of Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
55,3,2,4,1,Software/Enterprise Solutions,Prototype/Proof of Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
56,4,2,4,1,Energy/Green Technology,Prototype/Proof of Concept,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
57,1,3,4,1,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Diverse Team Composition,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet"
58,2,3,4,1,Consumer Products,Early Market Testing,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
59,3,3,4,1,Software/Enterprise Solutions,Early Market Testing,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
60,4,3,4,1,Energy/Green Technology,Early Market Testing,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
61,1,4,4,1,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Diverse Team Composition,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet"
62,2,4,4,1,Consumer Products,Revenue-Generating,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
63,3,4,4,1,Software/Enterprise Solutions,Revenue-Generating,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
64,4,4,4,1,Energy/Green Technology,Revenue-Generating,Diverse Team Composition,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Diverse Team Composition; Traction Indicators: No Funding Yet
65,1,1,1,2,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed"
66,2,1,1,2,Consumer Products,Idea/Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
67,3,1,1,2,Software/Enterprise Solutions,Idea/Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
68,4,1,1,2,Energy/Green Technology,Idea/Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
69,1,2,1,2,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed"
70,2,2,1,2,Consumer Products,Prototype/Proof of Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
71,3,2,1,2,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
72,4,2,1,2,Energy/Green Technology,Prototype/Proof of Concept,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
73,1,3,1,2,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Prior Startup Experience,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed"
74,2,3,1,2,Consumer Products,Early Market Testing,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
75,3,3,1,2,Software/Enterprise Solutions,Early Market Testing,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
76,4,3,1,2,Energy/Green Technology,Early Market Testing,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
77,1,4,1,2,"R&D-Intensive (e.g. hardware, life sciences)",Revenue-Generating,Founders with Prior Startup Experience,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed"
78,2,4,1,2,Consumer Products,Revenue-Generating,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
79,3,4,1,2,Software/Enterprise Solutions,Revenue-Generating,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
80,4,4,1,2,Energy/Green Technology,Revenue-Generating,Founders with Prior Startup Experience,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Revenue-Generating; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: Angel/Seed Round Completed
81,1,1,2,2,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Industry Expertise,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed"
82,2,1,2,2,Consumer Products,Idea/Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
83,3,1,2,2,Software/Enterprise Solutions,Idea/Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
84,4,1,2,2,Energy/Green Technology,Idea/Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
85,1,2,2,2,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Industry Expertise,Angel/Seed Round Completed,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed"
86,2,2,2,2,Consumer Products,Prototype/Proof of Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
87,3,2,2,2,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Industry Expertise,Angel/Seed Round Completed,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Industry Expertise; Traction Indicators: Angel/Seed Round Completed
